Country Name,Country Code,1990,*1990,1991,*1991,1992,*1992,1993,*1993,1994,*1994,1995,*1995,1996,*1996,1997,*1997,1998,*1998,1999,*1999,2000,*2000,2001,*2001,2002,*2002,2003,*2003,2004,*2004,2005,*2005,2006,*2006,2007,*2007,2008,*2008,2009,*2009,2010,*2010,2011,*2011,2012,*2012,2013,*2013,2014,*2014,2015,*2015
Peru,PER,779210,0.164186943,777436,0.164493175,775662,0.164801947,773888,0.16511331,772114,0.165427291,770340,0.165743927,768566,0.16606324,766792,0.166385272,765018,0.166710065,763244,0.167037639,761470,0.167368043,760232,0.167798571,758994,0.168232736,757756,0.168670575,756518,0.169112151,755280,0.169557501,753846,0.169982353,752412,0.170410967,750978,0.17084339,749544,0.171279689,748110,0.171719907,746434,0.17182791,744758,0.171936533,743082,0.17204578,741406,0.172155665,739730,0.172266189
Mexico,MEX,697600,0.146990941,695696,0.147198282,693792,0.14740734,691888,0.147618154,689984,0.14783074,688080,0.148045125,686176,0.14826132,684272,0.148479357,682368,0.148699264,680464,0.148921053,678560,0.149144758,677014,0.149430676,675468,0.149719009,673922,0.150009781,672376,0.150303036,670830,0.150598795,669660,0.150999518,668490,0.151403789,667320,0.151811653,666150,0.152223171,664980,0.152638387,664064,0.152866468,663148,0.153095862,662232,0.153326579,661316,0.153558638,660400,0.153792048
Colombia,COL,644170,0.135732733,641551.4,0.13574214,638932.9,0.135751636,636314.3,0.135761196,633695.8,0.135770857,631077.2,0.135780582,628458.6,0.135790383,625840.1,0.135800289,623221.5,0.135810264,620603,0.135820341,617984.4,0.135830485,614790.2,0.135696626,611596.1,0.135561658,608401.9,0.135425517,605207.8,0.135288246,602013.6,0.135149774,598881.5,0.135039897,595749.4,0.134929044,592617.4,0.13481722,589485.3,0.134704379,586353.2,0.134590524,586086,0.134916058,585818.9,0.135243489,585551.7,0.135572789,585284.6,0.135904025,585017.4,0.136237165
Bolivia,BOL,627950,0.132315025,625246,0.132292175,622542,0.132269124,619838,0.132245886,617134,0.132222452,614430,0.132198823,611726,0.132174988,609022,0.13215095,606318,0.132126712,603614,0.13210226,600910,0.132077601,598196,0.13203395,595482,0.131989931,592768,0.131945533,590054,0.131900763,587340,0.131855606,582290,0.131298732,577240,0.130736919,572190,0.130170098,567140,0.129598213,562090,0.12902119,559200,0.128726944,556310,0.128430997,553420,0.128133336,550530,0.127833951,547640,0.127532824
"Venezuela",VEN,520260,0.10962372,517385,0.109470492,514510,0.109315977,511635,0.109160174,508760,0.10900306,505885,0.108844623,503010,0.108684837,500135,0.108523691,497260,0.108361172,494385,0.108197252,491510,0.108031921,488634,0.107851402,485758,0.107669359,482882,0.107485767,480006,0.107300616,477130,0.107113879,476714,0.107492734,476298,0.107874945,475882,0.108260554,475466,0.108649617,475050,0.109042175,473406,0.108977302,471762,0.108912053,470118,0.108846424,468474,0.108780416,466830,0.108714024
Argentina,ARG,347930,0.073312153,344997,0.072995915,342064,0.072677033,339131,0.072355486,336198,0.072031234,333265,0.071704247,330332,0.071374485,327399,0.071041914,324466,0.070706503,321533,0.070368209,318600,0.070026998,315252,0.06958249,311904,0.069134227,308556,0.068682159,305208,0.068226244,301860,0.067766427,298680,0.06734841,295500,0.066926685,292320,0.066501202,289140,0.066071917,285960,0.065638776,282992,0.065144305,280024,0.06464698,277056,0.064146777,274088,0.063643674,271120,0.063137644
Paraguay,PRY,211570,0.044579807,209781,0.044386345,207992,0.044191267,206203,0.043994557,204414,0.043796194,202625,0.043596157,200836,0.043394421,199047,0.043190969,197258,0.042985778,195469,0.042778823,193680,0.042570085,191894,0.042354885,190108,0.042137868,188322,0.041919008,186536,0.041698286,184750,0.041475676,181700,0.040970959,178650,0.040461767,175600,0.03994804,172550,0.03942972,169500,0.038906744,166246,0.038269563,162992,0.037628705,159738,0.03698414,156484,0.036335836,153230,0.035683761
Guyana,GUY,166600,0.035104201,166562,0.035241888,166524,0.035380719,166486,0.035520714,166448,0.035661886,166410,0.035804251,166372,0.035947822,166334,0.036092614,166296,0.036238647,166258,0.036385931,166220,0.036534487,166180,0.036679286,166140,0.036825307,166100,0.036972564,166060,0.037121078,166020,0.037270861,165968,0.0374236,165916,0.037577692,165864,0.037733153,165812,0.037890007,165760,0.038048271,165660,0.038134666,165560,0.03822156,165460,0.038308955,165360,0.038396858,165260,0.038485272
Suriname,SUR,154300,0.032512474,154261,0.03263919,154222,0.03276696,154183,0.032895801,154144,0.033025725,154105,0.033156746,154066,0.033288877,154027,0.033422133,153988,0.03355653,153949,0.03369208,153910,0.033828799,153870,0.03396222,153830,0.034096767,153790,0.034232454,153750,0.034369299,153710,0.034507313,153670,0.034650563,153630,0.034795082,153590,0.034940886,153550,0.035087995,153510,0.035236426,153472,0.035329008,153434,0.035422124,153396,0.035515777,153358,0.035609974,153320,0.035704719
Chile,CHL,152630,0.03216059,153201,0.032414911,153772,0.03267135,154343,0.032929938,154914,0.033190699,155485,0.033453663,156056,0.033718854,156627,0.033986304,157198,0.034256042,157769,0.034528095,158340,0.034802495,158756,0.035040659,159172,0.035280834,159588,0.035523044,160004,0.035767319,160420,0.036013683,160798,0.036257833,161176,0.036504147,161554,0.036752652,161932,0.037003381,162310,0.037256363,165318,0.038055939,168326,0.038860125,171334,0.039668962,174342,0.040482493,177350,0.041300757
