Country Name,1990,*1990,1991,*1991,1992,*1992,1993,*1993,1994,*1994,1995,*1995,1996,*1996,1997,*1997,1998,*1998,1999,*1999,2000,*2000,2001,*2001,2002,*2002,2003,*2003,2004,*2004,2005,*2005,2006,*2006,2007,*2007,2008,*2008,2009,*2009,2010,*2010,2011,*2011,2012,*2012,2013,*2013,2014,*2014,2015,*2015
Brazil,5467050,0.535307202,5441619,0.53517788,5416188,0.535047385,5390757,0.534915735,5365326,0.534782903,5339895,0.534648877,5314464,0.534513626,5289033,0.534377144,5263602,0.534239425,5238171,0.534100429,5212740,0.533960156,5183660,0.53361223,5154580,0.533260838,5125500,0.532905919,5096420,0.532547441,5067340,0.532185332,5050788,0.532466951,5034236,0.532750717,5017684,0.53303665,5001132,0.533324796,4984580,0.533615172,4974740,0.533838038,4964900,0.53406197,4955060,0.534286974,4945220,0.534513071,4935380,0.534740261
Peru,779210,0.07629649,777436,0.076460066,775662,0.076625096,773888,0.076791602,772114,0.076959604,770340,0.077129123,768566,0.077300175,766792,0.077472786,765018,0.077646976,763244,0.077822764,761470,0.078000177,760232,0.078259202,758994,0.078520806,757756,0.078785027,756518,0.079051908,755280,0.079321486,753846,0.079472368,752412,0.079624402,750978,0.079777602,749544,0.079931984,748110,0.080087559,746434,0.080099636,744758,0.08011177,743082,0.080123961,741406,0.080136212,739730,0.080148522
Mexico,697600,0.068305632,695696,0.068421018,693792,0.068537428,691888,0.068654881,689984,0.068773388,688080,0.068892965,686176,0.069013624,684272,0.069135382,682368,0.069258255,680464,0.069382255,678560,0.0695074,677014,0.06969264,675468,0.069879725,673922,0.070068681,672376,0.070259539,670830,0.070452325,669660,0.070597265,668490,0.070743312,667320,0.070890478,666150,0.071038779,664980,0.071188228,664064,0.071260533,663148,0.071333184,662232,0.071406185,661316,0.071479539,660400,0.071553248
Colombia,644170,0.063074023,641551.4,0.06309595,638932.9,0.063118078,636314.3,0.063140396,633695.8,0.063162924,631077.2,0.063185646,628458.6,0.063208573,625840.1,0.063231718,623221.5,0.063255067,620603,0.063278638,617984.4,0.063302418,614790.2,0.063287247,611596.1,0.063271935,608401.9,0.063256458,605207.8,0.063240837,602013.6,0.063225047,598881.5,0.063135615,595749.4,0.063045499,592617.4,0.062954701,589485.3,0.062863193,586353.2,0.062770978,586086,0.062892734,585818.9,0.063015085,585551.7,0.063138014,585284.6,0.063261547,585017.4,0.063385668
Bolivia,627950,0.061485839,625246,0.061492329,622542,0.061498875,619838,0.06150548,617134,0.061512145,614430,0.061518871,611726,0.061525656,609022,0.061532503,606318,0.061539413,603614,0.061546386,600910,0.061553424,598196,0.06157902,595482,0.06160487,592768,0.061630978,590054,0.061657349,587340,0.061683987,582290,0.061386497,577240,0.061086732,572190,0.060784665,567140,0.060480272,562090,0.060173526,559200,0.060007605,556310,0.059840886,553420,0.059673364,550530,0.059505033,547640,0.059335888
"Venezuela",520260,0.050941353,517385,0.050884306,514510,0.050826749,511635,0.050768679,508760,0.050710087,505885,0.050650967,503010,0.050591311,500135,0.050531111,497260,0.050470362,494385,0.050409053,491510,0.05034718,488634,0.050300575,485758,0.050253506,482882,0.050205965,480006,0.050157947,477130,0.050109444,476714,0.050256406,476298,0.050404491,475882,0.050553711,475466,0.050704082,475050,0.050855616,473406,0.050801073,471762,0.050746267,470118,0.050691197,468474,0.050635862,466830,0.050580258
Argentina,347930,0.03406763,344997,0.033930116,342064,0.033791377,339131,0.033651398,336198,0.033510162,333265,0.033367652,330332,0.03322385,327399,0.033078739,324466,0.032932302,321533,0.032784518,318600,0.032635371,315252,0.032452422,311904,0.032267651,308556,0.03208103,305208,0.031892532,301860,0.031702129,298680,0.031487607,295500,0.031271446,292320,0.031053624,289140,0.030834125,285960,0.030612929,282992,0.030367797,280024,0.030121487,277056,0.02987399,274088,0.029625298,271120,0.029375404
Paraguay,211570,0.020715915,209781,0.020631755,207992,0.020546845,206203,0.020461176,204414,0.020374738,202625,0.02028752,200836,0.020199512,199047,0.020110702,197258,0.020021081,195469,0.019930635,193680,0.019839356,191894,0.0197538,190108,0.019667393,188322,0.019580121,186536,0.019491971,184750,0.019402929,181700,0.019155277,178650,0.018905732,175600,0.018654271,172550,0.018400873,169500,0.018145515,166246,0.017839814,162992,0.017532645,159738,0.017223996,156484,0.016913857,153230,0.016602217
Guyana,166600,0.016312669,166562,0.016381209,166524,0.016450358,166486,0.016520125,166448,0.016590519,166410,0.016661549,166372,0.016733221,166334,0.016805546,166296,0.016878533,166258,0.01695219,166220,0.017026527,166180,0.01710677,166140,0.017187813,166100,0.017269666,166060,0.017352343,166020,0.017435856,165968,0.01749677,165916,0.017558149,165864,0.01762,165812,0.017682327,165760,0.017745136,165660,0.017776931,165560,0.017808878,165460,0.017840979,165360,0.017873235,165260,0.017905648
Suriname,154300,0.015108313,154261,0.015171418,154222,0.015235084,154183,0.015299319,154144,0.015364132,154105,0.015429529,154066,0.015495519,154027,0.015562109,153988,0.015629309,153949,0.015697125,153910,0.015765568,153870,0.015839564,153830,0.015914297,153790,0.015989777,153750,0.016066017,153710,0.016143027,153670,0.016200283,153630,0.016257977,153590,0.016316113,153550,0.016374697,153510,0.016433735,153472,0.01646904,153434,0.016504515,153396,0.01654016,153358,0.016575978,153320,0.016611968
